"id" "danceability" "energy" "key" "loudness" "mode" "speechiness" "acousticness" "instrumentalness" "liveness" "valence" "tempo" "duration_ms" "time_signature" "uri" "analysis_url" "name"
"1" "7f0vVL3xi4i78Rv5Ptn2s1" 0.522 0.923 2 -4.56 1 0.0539 0.0125 0.017 0.0854 0.595 170.057 245960 4 "spotify:track:7f0vVL3xi4i78Rv5Ptn2s1" "https://api.spotify.com/v1/audio-analysis/7f0vVL3xi4i78Rv5Ptn2s1" "Algorithm"
"2" "0dMYPDqcI4ca4cjqlmp9mE" 0.484 0.927 2 -3.759 1 0.0425 0.000884 3.96e-06 0.223 0.389 99.979 227213 4 "spotify:track:0dMYPDqcI4ca4cjqlmp9mE" "https://api.spotify.com/v1/audio-analysis/0dMYPDqcI4ca4cjqlmp9mE" "The Dark Side"
"3" "3eSyMBd7ERw68NVB3jlRmW" 0.622 0.842 11 -3.678 0 0.0609 0.00342 0.00014 0.0575 0.724 136.041 235600 4 "spotify:track:3eSyMBd7ERw68NVB3jlRmW" "https://api.spotify.com/v1/audio-analysis/3eSyMBd7ERw68NVB3jlRmW" "Pressure"
"4" "2sHLWUTiaBPGOIZinpqO4C" 0.754 0.675 2 -4.616 1 0.0939 0.0251 0.00419 0.513 0.432 95.024 180507 4 "spotify:track:2sHLWUTiaBPGOIZinpqO4C" "https://api.spotify.com/v1/audio-analysis/2sHLWUTiaBPGOIZinpqO4C" "Propaganda"
"5" "1mgWnqeUOurHJIyorDtuqF" 0.667 0.967 1 -0.759 0 0.0939 0.157 0.258 0.0596 0.614 90.015 217560 4 "spotify:track:1mgWnqeUOurHJIyorDtuqF" "https://api.spotify.com/v1/audio-analysis/1mgWnqeUOurHJIyorDtuqF" "Break it to Me"
"6" "1esX5rtwwssnsEQNQk0HGg" 0.59 0.903 9 -4.841 1 0.0542 0.0536 0.00289 0.12 0.545 105.018 226787 4 "spotify:track:1esX5rtwwssnsEQNQk0HGg" "https://api.spotify.com/v1/audio-analysis/1esX5rtwwssnsEQNQk0HGg" "Something Human"
"7" "57lCa95tmjJ8EYdNTex8Kk" 0.48 0.76 5 -3.663 1 0.0402 0.00107 2.37e-05 0.0809 0.378 139.985 206107 4 "spotify:track:57lCa95tmjJ8EYdNTex8Kk" "https://api.spotify.com/v1/audio-analysis/57lCa95tmjJ8EYdNTex8Kk" "Thought Contagion"
"8" "7lvZfms8Bh8QnThBmFTD7a" 0.646 0.846 4 -5.654 1 0.0356 0.0043 1.4e-05 0.105 0.87 135.014 244720 4 "spotify:track:7lvZfms8Bh8QnThBmFTD7a" "https://api.spotify.com/v1/audio-analysis/7lvZfms8Bh8QnThBmFTD7a" "Get Up and Fight"
"9" "7pdG3g13RKtrCmKwnSDeO4" 0.498 0.941 7 -4.454 0 0.0878 0.000644 0.0236 0.34 0.236 127.044 230680 4 "spotify:track:7pdG3g13RKtrCmKwnSDeO4" "https://api.spotify.com/v1/audio-analysis/7pdG3g13RKtrCmKwnSDeO4" "Blockades"
"10" "0RILico3Gbl5jxSNg3zLrJ" 0.428 0.429 0 -6.06 1 0.049 0.0879 0.00041 0.168 0.182 127.173 228147 4 "spotify:track:0RILico3Gbl5jxSNg3zLrJ" "https://api.spotify.com/v1/audio-analysis/0RILico3Gbl5jxSNg3zLrJ" "Dig Down"
