"song.id" "song" "id" "name_artist" "language" "text" "translation"
"1" "3ade68b6g056deda3" "Uno" "3ade68b6g056deda3" "muse" 1 "This means nothing to me Cos you are nothing to me And it means nothing to me That you blew this away  Cos you could have been number one If you only found the time And you could have ruled the whole world If you'd had the chance  You could have been number one And you could have ruled the whole world And we could have had so much fun But you blew it away  You're still nothing to me And this is nothing to me And you don't know what you've done But I'll give you a clue  You could have been number one If you'd only had the chance And you could have ruled the whole world If you'd had the time  You could have been number one And you could have ruled the whole world And we could have had so much fun But you blew it away  You could have been number one And you could have ruled the whole world And we could have had so much fun But you blew it away " "Isso não significa nada para mim, Porque você não é nada para mim E não significa nada para mim, Que você colocou tudo a perder.  Porque você poderia ter sido a número um, Se você só encontrasse o tempo E você poderia ter controlado o mundo, Se você aproveitasse a chance.  Você poderia ter sido a número um, E você poderia ter controlado o mundo, E nós poderíamos nos divertir tanto, Mas você colocou tudo a perder.  Você ainda não é nada para mim, E isso não é nada para mim E você não sabe o que fez, Mas eu vou te dar uma pista.  Você poderia ter sido a número um, Se você aproveitasse a chance, E você poderia ter controlado o mundo inteiro, Se você tivesse o tempo.   Você poderia ter sido a número um, E você poderia ter controlado o mundo, E nós poderíamos ter nos divertido tanto, Mas você colocou tudo a perder.  Você poderia ter sido a número um, E você poderia ter controlado o mundo, E nós poderíamos nos divertir tanto, Mas você colocou tudo a perder.   LeoLima"
"2" "3ade68b6g066deda3" "Screenager" "3ade68b6g066deda3" "muse" 1 "Who's so phoney and always surrounded? Stop your screaming - no one can hear All the scars on your skin: 'Post no bills'  Who you were Was so beautiful Remember who Who you were  Hide from the mirror - the cracks and memories Hide from your family - they won't know you now For all the holes in our souls host no thrills  Who you were Was so beautiful Memories who - Who you were " "[Screenager] Quem é tão falsa e está sempre cercada? Pare com a sua gritaria - ninguém consegue ouvir Todas as cicatrizes em sua pele: \"não mande conta alguma\"  Quem você era Era tão linda Lembre-se de quem Você era  Esconda-se do espelho - as rachaduras e as memórias Esconda-se de sua família - eles não vão te conhecer agora Por todos os buracos em nossas almas, não há nenhuma emoção  Quem você era Era tão linda Memórias de quem Quem você era"
"3" "3ade68b6g156deda3" "Sober" "3ade68b6g156deda3" "muse" 1 "Royal Canadian blended The spicy aroma had mended me Matured for years and imported Into my glass you poured it And you're the only reason That I remain unfrozen Suppose it stands to reason That you would turn on me  You're so solid You're so solid It burns inside of me Cos you're so solid It burns inside of me  And wild turkey's been chosen Its caramel nose couldn't smell me Arbouler/Jameson I love you The single malt's come burning And you're the only reason That I remain unfrozen Suppose it stands to reason That you would turn on me  You're so solid You're so solid It burns inside of me Cos you're so solid It burns inside of me  Royal canadian blended Its spicy aroma had mended me And you're the only reason I reamain unfrozen Suppose it stands to reason That you would turn on me  You're so solid You're so solid It burns inside of me It burns inside of me " "[Sóbrio]  Royal Canadian se misturou O aroma temperado me curou Amadureci por anos e me envolvi No meu copo você a derramou E você é a única razão Na qual eu permaneço descongelado Suponha que isso seja um motivo No qual você voltou para mim  Você é tão inteligente Você é tão inteligente Isso queima dentro de mim Porque você é tão inteligente E isso queima dentro de mim  E um bobo selvagem foi escolhido Tem cheiro de caramelo, não consegueria me sentir Arbouler/Jamenson eu amo vocês E você é a única razão Na qual eu permaneço descongelado Suponha que isso seja um motivo No qual você voltou para mim  Você é tão inteligente Você é tão inteligente Isso queima dentro de mim Porque você é tão inteligente E isso queima dentro de mim  Royal Canadian se misturou O aroma temperado está me curando E você é a única razão Na qual eu permaneço descongelado Suponha que isso seja um motivo No qual você voltou para mim  Você é tão inteligente Você é tão inteligente Isso queima dentro de mim Isso queima dentro de mim"
"4" "3ade68b6g256deda3" "Plug In Baby" "3ade68b6g256deda3" "muse" 1 "I've exposed your lies Baby The underneath's no big surprise Now it's time for changing And cleansing everything To forget your love  My plug in baby Crucifies my enemies When I'm tired of giving My plug in baby In unbroken virgin realities Is tired of living  Don't confuse Baby you're gonna lose Your own game Change me Replace the envying To forget your love  My plug in baby Crucifies my enemies When I'm tired of giving My plug in baby In unbroken virgin realities Is tired of living  And I've seen your loving But mine is gone And I've been in trouble wooaahhhh" "[Plug In Baby tradução]   Eu expus suas mentiras Baby O que tem por baixo não é grande surpresa Agora é tempo de mudar E purificar tudo Para esquecer seu amor  Meu plug in baby Crucifica meus inimigos Quando estou cansado de desistir Meu plug in baby Em virgens intocadas realidades Está cansado de viver  Não confunda Baby voce vai perder Seu próprio jogo Me mude E substitua a inveja Para esquecer seu amor  Meu plug in baby Crucifica meus inimigos Quando estou cansado de desistir Meu plug in baby Em virgens intocadas realidades Está cansado de viver  E tenho visto seu amor Mas o meu acabou E estive encrencado Whoooa"
"5" "3ade68b6g266deda3" "Feeling Good" "3ade68b6g266deda3" "muse" 1 "Birds flying high you know how I feel Sun in the sky you know how I feel Reeds drifting on by you know how I feel Its a new dawn it's a new day its a new life for me And I'm feeling good  Fish in the sea you know how I feel River running free you know how I feel Blossom in the trees you know how I feel It's a new dawn its a new day it's a new life for me And I'm feeling good  Dragonflies all out in the sun You know what I mean, don't you know Butterflies are all having fun You know what I mean Sleep in peace When the day is done And this old world is new world and a bold world for me  Stars when you shine you know how I feel Scent of the pine you know how I feel Yeah freedom is my life And you know how I feel Its a new dawn its a new day its a new life for me And I'm feeling good  Ooooh (Feeling good)" "[Me sentindo bem]  Pássaros voando alto sabem como me sinto Sol no céu você sabe como eu me sinto Bambus secando sozinhos sabem como me sinto É um novo entardecer é um novo dia e é uma nova vida para mim E eu estou me sentindo bem  Peixe no mar sabe como me sinto Rio correndo solto sabe como me sinto Flores nas árvores sabem como me sinto É um novo entardecer é um novo dia e é uma nova vida para mim E eu estou me sentindo bem  Libélulas soltas no céu Voce sabe o que quero dizer, voce não sabe? Borboletas todas se divertindo Você sabe o que quero dizer Durma em paz Quando o dia está feito E esse velho mundo é novo mundo e um mundo esperto para mim  As estrelas quando brilham sabem como me sinto O pinheiro sabe como me sinto Yeah liberdade é minha vida E você sabe como eu me sinto É um novo entardecer é um novo dia e é uma nova vida para mim E eu estou me sentindo bem  Ooooh (me sentindo bem)"
"6" "3ade68b6g356deda3" "Hate This & I'll Love You" "3ade68b6g356deda3" "muse" 1 "Oh I am growing tired Of allowing you to steal Everything I have You're making me feel  Like I was born to service you But I am growing by the hour  You left us far behind So we all discard our souls And blaze through your skies so unafraid to die  Cos I was born to destroy you And I am growing by the hour  And I'm getting strong in every way Yeah yeah Yeah yeah ooooohhhhhhh  You lead me on You lead me on oooooohhhhhhh " "[Odeio isso e vou te amar]  Oh, estou ficando cansado De deixar você roubar Tudo que tenho Você me faz sentir  Como se eu tivesse nascido pra te servir Mas estou ficando por um tempo  Você nos deixou para trás Assim nós todos descartamos nossas almas E queimando através dos seus céus Sem medo de morrer  Porque eu nasci pra te destruir E estou ficando por um tempo  E estou ficando forte em todos os detalhes Sim, sim Sim. sim  Você me seduziu Você me seduziu"
"7" "3ade68b6g366deda3" "Megalomania" "3ade68b6g366deda3" "muse" 1 "Paradise comes at a price That I am not prepared to pay What were we built for? Could someone tell me please  The good news is she can't have babies And won't accept gifts from me What are they for? They'll just grow up and break the laws you've loved  Take off your disguise I know that underneath it's me Who are you oooh  Useless device, it won't suffice I want a new game to play When I am gone - it won't be long Before I disturb you in the dark  And paradise comes at a price That I am not prepared to pay What were we built for? Will someone tell me please  Take off your disguise I know that underneath its me  Take off your disguise I know that underneath it's me Who are you oooh" "[Megalomania (tradução)]  O paraíso vem com um preço Que não estou disposto a pagar O que construímos? Alguém pode me dizer, por favor?  A boa notícia é que ela não pode ter filhos E não vou aceitar presentes O que eles são? Eles vão só crescer e desobedecer as regras que você tanto ama  Tire sua máscara Sei que por debaixo sou eu Quem é você?  Plano inútil, não vai ser o bastante Quero um novo jogo para jogar Quando eu for embora - não vai demorar Antes que eu lhe pertube na escuridão  E o paraíso tem um preço Que não estou disposto a pagar O que contruímos? Alguém poderá me dizer?  Tire sua máscara Sei que por debaixo sou eu  Tire sua máscara Sei que por debaixo sou eu Quem é você?"
"8" "3ade68b6g466deda3" "Agitated" "3ade68b6g466deda3" "muse" 1 "You make me agitated  With all the things you´ve hated But you're uncomplicated So why should it affect you That my loving was so untrue?  You do it to me sweetly To my yeah yeah You do it to me lovely To my yeah yeah  You try to make me crazy You make me agitated But we're not suffocated And why should it affect you That my loving was so untrue?  You do it to me sweetly To my yeah yeah You do it to me lovely To my yeah yeah" "[Agitado]  Você me deixa agitado Você sabe que eu lhe escolhi, baby Eu sei que é complicado Então por que isso deveria lhe afetar? Meu amor é tão falso  Tirou isso para mim docemente Para mim yeah yeah Tirou isso para mim suavemente De mim yeah yeah  Você tenta me deixar louco Você me deixa agitado Você me pegou sufocado Por que isso deveria lhe afetar? Meu amor é tão falso  Tirou isso para mim docemente Para mim yeah yeah Tirou isso para mim suavemente De mim yeah yeah"
"9" "3ade68b6g53d8fda3" "Apocalypse Please" "3ade68b6g53d8fda3" "muse" 1 "Declare this an emergency  Come on and spread a sense of urgency  And pull us through  And pull us through   This is the end  This is the end  Of the world  It´s time we saw a miracle  Come on, it´s time for something Biblical  To pull us through  And pull us through   And this is the end  This is the end  Of the world  Proclaim enternal victory Come on and change the course of history  And pull us through  And pull us through   This is the end  This is the end  Of the world" "[Apocalipse, por favor] Declare que isso é uma emergencia Venha até aqui e espalhe um senso de urgência E salve-nos E salve-nos  É o fim É o fim Do mundo  Dessa vez nós vimos um milagre Vamos, é hora de alguma coisa bíblica E salve-nos E salve-nos  E é o fim É o fim Do mundo  Proclame vitória eterna Vamos, e mude o curso da história E salve-nos E salve-nos  É o fim É o fim Do mundo   traduzido por mug_muse"
"10" "3ade68b6g556deda3" "Pink Ego Box" "3ade68b6g556deda3" "muse" 1 "its gonna be okay can't afford another day at fifteen bytes per second I've never seen your face I've never heard your voice but I think I like it When you instant message me with a promise I can feel it I can tell you're gonna be just like me my eyes are going astray my heart is feeling pain at fifteen beats per second I've never seen your eyes I've never heard your lies but i think I like it when you instant message me with a promise and I can feel it I can tell you're gonna be just like me you turn you turn you turn on me " "[Pink Ego Box] Está tudo bem   não pode ser outro dia   a cinqüenta bytes por segundo   Eu nunca vi sua face   Eu nunca ouvi sua voz   mas eu penso que gosto   Quando você manda uma mensagem instantânea com uma promessa   Eu posso sentir isto   Eu posso contar que você vai ser   há pouco como eu   meus olhos vão desencaminhadamente   meu coração está sentindo dor   a cinqüenta batidas por segundo   Eu nunca vi seus olhos   Eu nunca ouvi suas mentiras   mas eu penso que eu gosto   Quando você manda uma mensagem instantânea com uma promessa    e eu posso sentir isto   Eu posso contar que você vai ser   há pouco como eu   você vira   você vira   você vira em mim"
"11" "3ade68b6g566deda3" "Jimmy Kane" "3ade68b6g566deda3" "muse" 1 "Jimmy Kane can't sleep at night Sex in pain Keeps me alive You can't confuse yourself They make you know what else You can't fake it You will never make it You can't confuse yourself They make you know what else You can't fake it You will never make it Yeah  You're to blame For everything Sex in pain Keeps moving me Keeps me  You can't confuse yourself They make you know what else You can't fake it You will never make it You can't confuse yourself They make you know what else You can't fake it You will never make it Yeah " "[Jimmy Kane] Jimmy Kane não consegue dormir a noite O sexo como dor Me mantém vivo Você não pode se confundir Eles te fazem saber muito mais Você não pode fingi-lo Você nunca vai fazê-lo Você não pode se confundir Eles te fazem saber muito mais Você não pode fingi-lo Você nunca vai fazê-lo Yeah  Você se culpa Por tudo O sexo como dor Me mantém em movimento Me mantém  Você não pode se confundir Eles te fazem saber muito mais Você não pode fingi-lo Você nunca vai fazê-lo Você não pode se confundir Eles te fazem saber muito mais Você não pode fingi-lo Você nunca vai fazê-lo Yeah"
"12" "3ade68b6g63d8fda3" "Time Is Running Out" "3ade68b6g63d8fda3" "muse" 1 "I think I'm drowning Asphyxiated I wanna break this spell That you've created  You're something beautiful A contradiction I wanna play the game I want the friction  You will be the death of me Yeah, You will be the death of me  Bury it I won't let you bury it I won't let you smother it I won't let you murder it  And our time is running out And our time is running out You can't push it underground We can't stop it screaming out  I wanted freedom Bound and restricted I tried to give you up But I'm addicted  Now that you know I'm trapped Sense of elation You'll never dream of breaking this fixation You will squeeze the life out of me  Bury it I won't let you bury it I won't let you smother it I won't let you murder it  And our time is running out And our time is running out You can't push it underground We can't stop it screaming out  How did it come to this Ooooh yayayayaya Ooooh yayayayaya Ooooh yaya yeah yeah yeeaah!  You will suck the life out of me  Bury it I won't let you bury it I won't let you smother it I won't let you murder it  Our time is running out And our time is running out You can't push it underground We can't stop it screaming out  How did it come to this Ooooh yayayayaya Ooooh yayayayaya Ooooh yaya yeah yeah yeeaah!" "[O Tempo Está Acabando]   Eu acho que estou me afogando Asfixiado Eu quero quebrar o feitiço Que você criou  Você é algo belo Uma contradição Eu quero jogar o jogo Eu quero a fricção  Você será a minha morte Sim, você será a minha morte  Enterrar isso Eu não vou deixar você enterrar isso Eu não vou deixar você sufocar isso Eu não vou deixar você matar isso  E nosso tempo está acabando E nosso tempo está acabando Você não pode empurrar pra debaixo do tapete Não podemos parar de gritar  Eu quero a liberdade Limitada e restrita Eu tentei desistir de você Mas eu estou viciado  Agora que você sabe eu estou preso Sentimento de júbilo Você nunca vai sonhar em quebrar essa fixação Você vai espremer a vida de mim  Enterrar isso Eu não vou deixar você enterrar isso Eu não vou deixar você sufocar isso Eu não vou deixar você matar isso  E nosso tempo está acabando E nosso tempo está acabando Você não pode empurrar pra debaixo do tapete Não podemos parar de gritar  Como chegou a isto Ooooh yayayayaya Ooooh yayayayaya Ooooh yaya yeah yeah yeeaah!  Você sugará a vida de mim  Enterrar isso Eu não vou deixar você enterrar isso Eu não vou deixar você sufocar isso Eu não vou deixar você matar isso  E nosso tempo está acabando E nosso tempo está acabando Você não pode empurrar pra debaixo do tapete Não podemos parar de gritar  Como chegou a isto Ooooh yayayayaya Ooooh yayayayaya Ooooh yaya yeah yeah yeeaah!"
