"chord" "key" "music"
"1" "B" "G" "muse a crying shame"
"2" "C" "G" "muse a crying shame"
"3" "B" "G" "muse a crying shame"
"4" "B" "G" "muse a crying shame"
"5" "C" "G" "muse a crying shame"
"6" "F#m" "A" "muse aftermath"
"7" "E" "A" "muse aftermath"
"8" "Bm" "A" "muse aftermath"
"9" "D" "A" "muse aftermath"
"10" "A5" "A" "muse aftermath"
"11" "E" "A" "muse aftermath"
"12" "F#m" "A" "muse aftermath"
"13" "E" "A" "muse aftermath"
"14" "Bm" "A" "muse aftermath"
"15" "D" "A" "muse aftermath"
"16" "A5" "A" "muse aftermath"
"17" "E" "A" "muse aftermath"
"18" "F#m" "A" "muse aftermath"
"19" "E" "A" "muse aftermath"
"20" "Bm" "A" "muse aftermath"
"21" "D" "A" "muse aftermath"
"22" "A5" "A" "muse aftermath"
"23" "E" "A" "muse aftermath"
"24" "A" "A" "muse aftermath"
"25" "A/C#" "A" "muse aftermath"
"26" "D" "A" "muse aftermath"
"27" "A" "A" "muse aftermath"
"28" "E" "A" "muse aftermath"
"29" "D" "A" "muse aftermath"
"30" "Dm" "A" "muse aftermath"
"31" "A" "A" "muse aftermath"
"32" "F#m" "A" "muse aftermath"
"33" "E" "A" "muse aftermath"
"34" "Bm" "A" "muse aftermath"
"35" "D" "A" "muse aftermath"
"36" "A5" "A" "muse aftermath"
"37" "E" "A" "muse aftermath"
"38" "F#m" "A" "muse aftermath"
"39" "E" "A" "muse aftermath"
"40" "Bm" "A" "muse aftermath"
"41" "D" "A" "muse aftermath"
"42" "A5" "A" "muse aftermath"
"43" "E" "A" "muse aftermath"
"44" "F#m" "A" "muse aftermath"
"45" "E" "A" "muse aftermath"
"46" "Bm" "A" "muse aftermath"
"47" "D" "A" "muse aftermath"
"48" "A5" "A" "muse aftermath"
"49" "E" "A" "muse aftermath"
"50" "A" "A" "muse aftermath"
"51" "A/C#" "A" "muse aftermath"
"52" "D" "A" "muse aftermath"
"53" "A" "A" "muse aftermath"
"54" "E" "A" "muse aftermath"
"55" "D" "A" "muse aftermath"
"56" "Dm" "A" "muse aftermath"
"57" "A" "A" "muse aftermath"
"58" "F#m" "A" "muse aftermath"
"59" "E" "A" "muse aftermath"
"60" "Bm" "A" "muse aftermath"
"61" "D" "A" "muse aftermath"
"62" "A5" "A" "muse aftermath"
"63" "E" "A" "muse aftermath"
"64" "F#m" "A" "muse aftermath"
"65" "E" "A" "muse aftermath"
"66" "Bm" "A" "muse aftermath"
"67" "D" "A" "muse aftermath"
"68" "A5" "A" "muse aftermath"
"69" "E" "A" "muse aftermath"
"70" "A" "A" "muse aftermath"
"71" "A/C#" "A" "muse aftermath"
"72" "D" "A" "muse aftermath"
"73" "A" "A" "muse aftermath"
"74" "E" "A" "muse aftermath"
"75" "D" "A" "muse aftermath"
"76" "Dm" "A" "muse aftermath"
"77" "A" "A" "muse aftermath"
"78" "E" "A" "muse aftermath"
"79" "D" "A" "muse aftermath"
"80" "Dm" "A" "muse aftermath"
"81" "A" "A" "muse aftermath"
"82" "D#m" "F#" "muse animals"
"83" "D#m" "F#" "muse animals"
"84" "C#" "F#" "muse animals"
"85" "G#m" "F#" "muse animals"
"86" "F#" "F#" "muse animals"
"87" "D#m" "F#" "muse animals"
"88" "C#" "F#" "muse animals"
"89" "G#m" "F#" "muse animals"
"90" "F#" "F#" "muse animals"
"91" "D#m" "F#" "muse animals"
"92" "C#" "F#" "muse animals"
"93" "G#m" "F#" "muse animals"
"94" "F#" "F#" "muse animals"
"95" "D#m" "F#" "muse animals"
"96" "C#" "F#" "muse animals"
"97" "G#m" "F#" "muse animals"
"98" "F#" "F#" "muse animals"
"99" "D#m" "F#" "muse animals"
"100" "C#" "F#" "muse animals"
"101" "G#m" "F#" "muse animals"
"102" "F#" "F#" "muse animals"
"103" "G#m" "F#" "muse animals"
"104" "G" "F#" "muse animals"
"105" "F#" "F#" "muse animals"
"106" "F" "F#" "muse animals"
"107" "C#" "F#" "muse animals"
"108" "B" "F#" "muse animals"
